Project Name (Link),Valuation,GC: Company Name,County,Target Start Date,Target Completion Date,Primary Project Type,Owner: Company Name,Owner: Company Phone,Work Type,Address,City,GC: Company Phone,GC: Company Address,GC: Company City,GC: Contact Name,GC: Company County,GC: Company Email,Delivery System,Specs Available,GC: Company Website,Tags (Private),Tags (Shared),User Notes,Comments
House,$ 700188,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,122 Erin Ct,San Rafael,,,,,,,,,,,,,
House,$ 616192,,MARIN,,,Sale/Spec Homes,Haven Const Inc,,New Project,19 Erin Dr,San Rafael,,,,,,,,,,,,,
Citywide Pavement Rehab,$ 25740000,"Gallagher & Burk, Inc.",ALAMEDA,2025-06-01,2027-04-01,Paving,City of Oakland - Public Works,5102383961.0,New Project,,OAKLAND,5102610466.0,Po Box 7227,Oakland,Tricia Shimizu,ALAMEDA,tshimizu@gallagherburk.com,Design-Bid-Build,N,http://www.gallagherandburk.com/,REACH OUT,,,
Lawton Alternative School Emergency Egress Construction,$ 687000,"Youda Builders, Inc",SAN FRANCISCO,2025-04-01,2025-10-01,Primary School,San Francisco Unified School District,4152654262.0,"Alterations, New Project",1570 31st Ave,SAN FRANCISCO,4154898378.0,189 Hale St,San Francisco,,SAN FRANCISCO,ttyoudabuilders@gmail.com,Design-Bid-Build,Y,,,,,
Georges Hideaway Construction,$ 1000000 - $ 2999999,,SONOMA,2025-06-01,2026-03-01,Custom Homes,Burbank Housing Management Corporation,7075269782.0,New Project,18072 CA-116,GUERNEVILLE,,,,,,,Design-Bid-Build,Y,,,,,
FY 25-28 San Francisco Local Water Paving IQC,$ 18318050,,SAN FRANCISCO,2025-07-01,,Paving,San Francisco Public Utilities Commission,4155540633.0,"Alterations, New Project",Various Locations,San Francisco,,,,,,,Design-Bid-Build,Y,,,,,
Midway Village Phase 2 Apartments,$ 25000000 - $ 49999999,Devcon Construction Inc.,SAN MATEO,2025-06-01,,Apartments/Condominiums 4  Stories,MidPen Housing,6503562900.0,New Project,47 Midway Dr,DALY CITY,4089428200.0,690 Gibraltar Dr,Milpitas,Shawn McGrady,SANTA CLARA,smcgrady@devcon-const.com,Design-Bid-Build,N,http://devcon-const.com/,,,,
Joaquin Miller Elementary School Site Improvements,$ 598634,Tulum Systems,ALAMEDA,2025-06-01,2025-08-01,Park/Playground,Oakland Unified School District Facilities & Mgmt,4086135703.0,"Alterations, New Project",5525 Ascot Dr,OAKLAND,5106892783.0,3101 Hyde St,Oakland,,ALAMEDA,,Design-Bid-Build,Y,,,,,
Geyser Road Over Frasier Creek Bridge Replacement,$ 4969119,"Steelhead Constructors, Inc.",SONOMA,2025-06-01,,Bridge,"Sonoma, County of",7075652433.0,"Additions, Alterations, New Project",Geysers Rd Various Location,GEYSERVILLE,5302266400.0,2940 Innsbruck Dr,Redding,Kelly Knight,SHASTA,kelly@steelheadconstructors.com,Design-Bid-Build,N,http://www.steelheadconstructors.com,,,,
Slurry Sealing of Various Roadways Removal,$ 3759399,Pavement Coatings Co.,SOLANO,2025-06-01,,Paving,City of Vacaville,7074495100.0,"Alterations, New Project",Various Locations,VACAVILLE,9166421751.0,2150 Bell Ave Ste 125,Sacramento,,SACRAMENTO,tim@pavementcoatings.com,Design-Bid-Build,N,http://www.pavementrecycling.com,,,,
San Francisco EV Charger Installation,$ 792000,,SAN FRANCISCO,2025-07-01,2026-01-01,Vehicle Sales/Service,City & County of San Francisco,4152545217.0,New Project,1150 Wayland St Various Locations,SAN FRANCISCO,,,,,,,Design-Bid-Build,N,,,,,
231 Grant Ave Apartments / Parking Garage,$ 15000000 - $ 24999999,Cahill Contractors,SANTA CLARA,2023-08-01,2025-06-01,Apartments/Condominiums 4  Stories,Abode Communities,2136292702.0,New Project,231 Grant Ave,PALO ALTO,4159860600.0,425 California St Ste 2200,San Francisco,,SAN FRANCISCO,info@cahill-sf.com,Contract Method Undetermined,N,https://cahill-sf.com/,,,,
2025-2028 Installation of Water Services and Mains IQC,$ 950000,A & B Construction,SANTA CLARA,2025-06-01,,Water Line,City of San Jose,4085353500.0,New Project,,San Jose,4157602750.0,225 3rd St,Oakland,,ALAMEDA,rlunkad@a-bconstruction.net,Design-Bid-Build,Y,https://a-bconstruction.net/,,,,
RFQ/CM:Energy Campus Utility Infrastructure Imprvmnt,$ 200000000 - $ 600000000,,ALAMEDA,2026-02-01,2029-07-01,Heating/Cooling Plant,University of California Berkeley,5106645203.0,New Project,2495 Bancroft Way,BERKELEY,,,,,,,Construction Management at Risk,N,,PRIORITY | REACH OUT,,,
SWTF Generator Upgrade,$ 991386,Day's Generator Service,SAN JOAQUIN,2025-07-01,,Water Treatment Plant,City of Lodi Public Works Dept,2093336800.0,"Alterations, New Project",2001 W Turner Rd,LODI,9258134062.0,Po Box 1868,Brentwood,,CONTRA COSTA,randy@daysgs.com,Design-Bid-Build,N,http://daysgs.com,,,,
2025 Street Resurfacing,$ 3817941,G. Bortolotto & Co.,SAN FRANCISCO,2025-06-01,,Paving,Metropolitan Transportation Commission (MTC),4157786700.0,"Alterations, New Project",Various Locations,SAN FRANCISCO,6505952591.0,582 Bragato Rd,San Carlos,,SAN MATEO,gbort@pacbell.net,Design-Bid-Build,N,,,,,
LEC CT Inlet Platform Structure Construction,$ 589000,"TTS Construction Co., Inc.",SAN JOAQUIN,2025-03-01,2025-07-01,Office,Northern California Power Agency - Site office,2093336370.0,New Project,12745 Thornton Rd,LODI,2093337788.0,1220 E Pine St,Lodi,,SAN JOAQUIN,estimating@ttsconstruction.com,Design-Bid-Build,Y,http://www.ttsconstruction.com,,,,
Sunol Valley WTP Short Term Improvements,$ 44938784,western water constructors inc,ALAMEDA,2025-07-01,2029-01-01,Water Treatment Plant,San Francisco Public Utilities Commission,4155540633.0,New Project,8635 Calaveras Rd,SUNOL,7075409640.0,707 Aviation Blvd,Santa Rosa,,SONOMA,josh.mcgarva@westernwater.com,Design-Bid-Build,N,https://www.westernwater.com/,MADE CONTACT,,,
Haman Elementary School Paving Repairs,$ 1747944,Guerra Construction Group,SANTA CLARA,2025-06-01,,Paving,Santa Clara Unified School District,4084232000.0,"Alterations, New Project",865 Los Padres Blvd,SANTA CLARA,4082792027.0,984 MEMOREX DR,SANTA CLARA,,SANTA CLARA,jc@guerraco.com,Design-Bid-Build,Y,http://guerraco.com/,,,,
Wildcat Farmz Cannabis Cultivation Facility,$ 3000000 - $ 4999999,,LAKE,2025-03-01,2025-11-01,Animal/Plant/Fish Facility,Leventhal Realty Lake County,5303798588.0,New Project,7648 Harrington Flat Rd,KELSEYVILLE,,,,,,,,N,,,,,
Martial Cottle Park Perimeter Trail Extension,$ 1179408,"GradeTech, LLC",SANTA CLARA,2025-04-01,,Park/Playground,County of Santa Clara Parks & Recreation Departmen,4083552200.0,"Alterations, New Project",5283 Snell Ave,SAN JOSE,9254015092.0,299 W Jack London Blvd,Livermore,,ALAMEDA,gradetinc@sbcglobal.net,Design-Bid-Build,Y,,,,,
FY2025-27 Citywide Facility & Minor Construction IQC,$ 500000,,ALAMEDA,2025-07-01,,Office,City of Emeryville Public Works - Engineering Div,5104969950.0,"Alterations, New Project",Various Locations,Emeryville,,,,,,,Design-Bid-Build,N,,,,,
Palo Alto Horizontal Levee Construction,$ 2764140,"Corcus Construction, Inc.",SANTA CLARA,2025-04-01,,Flood Control Dams,Association of Bay Area Governments (ABAG),4158207900.0,"Alterations, New Project",2501 Embarcadero Way,PALO ALTO,4158954293.0,2645 Franklin St Apt 6,San Francisco,,SAN FRANCISCO,office@mexeire.com,Design-Bid-Build,Y,,,,,
Millikin Elementary School Paving Repairs,$ 2045000,"O'Grady Paving, Inc.",SANTA CLARA,2025-08-01,,Paving,Santa Clara Unified School District,4084232000.0,"Alterations, New Project",615 Hobart Terrace,SANTA CLARA,6509661926.0,2513 Wyandotte St,Mountain View,Craig Young,SANTA CLARA,craig@ogradypaving.com,Design-Bid-Build,Y,http://ogradypavinginc.com/,,,,
CA/DOT: AC surfacing Replacements,$ 3022843,Argonaut Constructors,LAKE,2025-06-01,,Paving,State of California Department of Transportation,9166542852.0,"Alterations, New Project",Mathews Rd,LAKEPORT,7075424862.0,360 Sutton Pl Po Box 639,Santa Rosa,,SONOMA,daves@argonautconstructors.com,Design-Bid-Build,N,http://argonautconstructors.com/,,,,
Barron Park ES Playground & Landscape Improvements,$ 757700,"Galeb Paving, Inc.",SANTA CLARA,2025-06-01,,Park/Playground,Palo Alto Unified School District,9259150008.0,"Alterations, New Project",800 Barron Ave,PALO ALTO,4082534747.0,12340 Saratoga Sunnyvale Rd,Saratoga,,SANTA CLARA,galebpaving@earthlink.net,Design-Bid-Build,Y,http://galebcompanies.com/,,,,
Jefferson Elementary School Schoolyard Outdoor Learning,$ 3916000,"Bana Builders, Inc.",SAN FRANCISCO,2025-03-01,2025-12-01,Park/Playground,San Francisco Unified School District,4152416000.0,New Project,1725 Irving St,SAN FRANCISCO,4155089253.0,338 N Canal St Ste 11,South San Francisco,,SAN MATEO,bids@banabuilders.com,Design-Bid-Build,Y,,,,,
Mccandless Well Facility Installation,$ 5336500,"Gsw Construction, Inc",SANTA CLARA,2025-04-01,,Water Treatment Plant,City of Milpitas,4085863315.0,New Project,1650 McCandless Dr,MILPITAS,4157570603.0,101 The Embarcadero Ste 123,San Francisco,,SAN FRANCISCO,gsilveira@gsw.construction,Design-Bid-Build,Y,,,,,
Danville - 2024/2025 Pavement Rehabilitation,$ 3532702,MCK Services,CONTRA COSTA,2025-06-01,2025-12-01,Paving,Town of Danville,9253143401.0,"Alterations, New Project",Various locations,DANVILLE,9259579200.0,865 Howe Rd,Martinez,,CONTRA COSTA,njackson@mckpaving.com,Design-Bid-Build,N,https://www.mckpaving.com/,,,,
Southwest Expressway Sanitary Sewer Improvement,$ 4420145,"Koios Engineering, Inc",SANTA CLARA,2025-07-01,,Sanitary Sewer,City of San Jose,4085353500.0,"Alterations, New Project",Southwest Expy,SAN JOSE,6508267632.0,Po Box 320217,San Francisco,,SAN FRANCISCO,jonathan.reyes@koiosengineering.com,Design-Bid-Build,Y,,,,,
2025 Berkeley City Street Maintenance and Rehabilitation,$ 11049111,"Bay Cities Paving & Grading, Inc.",ALAMEDA,2025-06-01,,Paving,City of Berkeley,5109816700.0,"Alterations, New Project",Various Locations,Berkeley,9256876666.0,1450 Civic Ct Bldg B,Concord,Ben Rodriguez,CONTRA COSTA,estimating@baycities.us,Design-Bid-Build,N,https://www.baycities.us,,,,
Contra Costa - 2025 Walnut Creek Overlays,$ 2459878,MCK Services,CONTRA COSTA,2025-06-01,,Paving,County of Contra Costa,9253132338.0,"Alterations, New Project",Walnut Creek,MARTINEZ,9259579200.0,865 Howe Rd,Martinez,,CONTRA COSTA,njackson@mckpaving.com,Design-Bid-Build,Y,https://www.mckpaving.com/,,,,
Shadelands SecureSpace/Calicraft Micro Brewery,$ 12800000,PB Brown Construction,CONTRA COSTA,2024-12-01,,Warehouse,Insite Property Group,3073710609.0,New Project,2700 Mitchell Dr,WALNUT CREEK,4073952929.0,132 W PLANT ST STE 210,WINTER GARDEN,,ORANGE,paul@pbbrown.com,Design-Bid-Build,N,https://pbbrown.com/,,,,
House,$ 1221994,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18642 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 828733,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18242 Corte Agustin,Morgan Hill,,,,,,,,,,,,,
House,$ 828733,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18612 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 1150855,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18661 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 1441998,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18631 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
New West Field Garage 675 Design/Build,$ 163000000,Austin Webcor JV,SAN FRANCISCO,2025-08-01,2029-01-01,Parking Garage,City & County of San Francisco Airports Commission,6508215324.0,New Project,,San Francisco,2132392800.0,207 King St Ste 300,San Francisco,,SAN FRANCISCO,,Design/Build,Y,http://austinwebcor.com/contact.html,,,,
Santa Cruz Harbor Demo & Reconstruction Ff-Dock Phase 1,$ 3191538,Cushman Contracting Corp.,SANTA CRUZ,2025-04-01,,Dock/Pier,Santa Cruz Port District,8314756161.0,"Alterations, New Project",,SANTA CRUZ,8059648661.0,5354 Overpass Rd,Goleta,,SANTA BARBARA,shane@cushmancontracting.com,Design-Bid-Build,Y,https://www.cushmancontracting.com/,,,,
Smith Hall and Statler Wing HVAC Upgrade & Replacement,$ 4451900,"Dowdle & Sons Mechanical, Inc.",SAN FRANCISCO,2025-04-01,,Heating/Cooling Plant,City College of San Francisco,4154525277.0,"Alterations, New Project",50 Frida Kahlo Way,SAN FRANCISCO,7072246968.0,100 TOWER RD,AMERICAN CANYON,,NAPA,dave@dowdleandsonsmech.com,Design-Bid-Build,Y,https://dowdleandsonsmech.com/,,,,
Channel Street Improvements,$ 1376066,"Tracy Grading and Paving, Inc",SAN JOAQUIN,2025-06-01,2025-12-01,Paving,"Stockton, City of",2099378613.0,"Alterations, New Project",Channel St Various location,STOCKTON,2098396590.0,5431 W Grant Line Rd,Tracy,,SAN JOAQUIN,,Design-Bid-Build,N,,,,,
House,$ 510000,,SANTA CLARA,,,Sale/Spec Homes,Vu Toan Tai Van,,New Project,1011 S Park Victoria Dr,Milpitas,,,,,,,,,,,,,
House,$ 1221994,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18602 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
Central Burlingame Terrace Sub-Div Water Main Replacement,$ 3794150,Westland Contractors Inc,SAN MATEO,2025-06-01,,Water Line,City of Burlingame Public Works,6505587230.0,"Alterations, New Project",Paloma Ave Various locations,BURLINGAME,6507876794.0,433 Airport Blvd Ste 321,Burlingame,,SAN MATEO,,Design-Bid-Build,N,http://www.westlandcontractorsinc.com,,,,
North Housing Block A,$ 20600000,"J.H. Fitzmaurice, Inc",ALAMEDA,2023-11-01,2025-06-01,Apartments/Condominiums 4  Stories,Housing Authority of the City of Alameda,5107474316.0,New Project,500 Mosley Ave,ALAMEDA,5104447561.0,2857 Hannah St,Oakland,Mohammad Hakimi,ALAMEDA,mh@jhfoak.com,Design-Bid-Build,Y,http://www.jhfoak.com,,,,
House,$ 710224,,SANTA CLARA,,,Sale/Spec Homes,Hgsj Phase 2 LLC,,New Project,6265 Evangeline Ct Lot # Lot 324,San Jose,,,,,,,,,,,,,
House,$ 1150855,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18632 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 556846,,SANTA CLARA,,,Sale/Spec Homes,Sher Const Inc,,New Project,5839 Brasilia Hill Ct Lot # Lot 4,San Jose,,,,,,,,,,,,,
House,$ 1441998,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18251 Corte Agustin,Morgan Hill,,,,,,,,,,,,,
Cabrillo School Outdoor Improvements,$ 2975842,"Beals Martin and Associates, Inc",SAN MATEO,2025-04-01,,Park/Playground,Pacifica School District,6507386686.0,"Alterations, New Project",601 Crespi Dr,PACIFICA,6503648141.0,2596 Bay Rd,Redwood City,Daniel Johnson,SAN MATEO,seth@bealsmartin.com,Design-Bid-Build,N,http://www.bealsmartin.com,,,,
House,$ 542598,,SANTA CLARA,,,Sale/Spec Homes,Sher Const Inc,,New Project,5835 Brasilia Hill Ct Lot # Lot 3,San Jose,,,,,,,,,,,,,
House,$ 1227737,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18252 Corte Agustin,Morgan Hill,,,,,,,,,,,,,
House,$ 1034629,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18651 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 1114003,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18622 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
House,$ 1221994,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18262 Corte Agustin,Morgan Hill,,,,,,,,,,,,,
House,$ 1107400,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18641 Corte Obispo,Morgan Hill,,,,,,,,,,,,,
San Rafael Existing Pump Station Replacement,$ 1477900,"Maggiora & Ghilotti, Inc.",MARIN,2025-04-01,,Water Treatment Plant,San Rafael Sanitation District,4154853132.0,New Project,150 3rd St,SAN RAFAEL,4154598640.0,555 Du Bois St,San Rafael,,MARIN,maggioraghilotti@sbcglobal.net,Design-Bid-Build,Y,http://www.maggiora-ghilotti.com/,,,,
House,$ 626656,,SANTA CLARA,,,Sale/Spec Homes,Sher Const Inc,,New Project,5843 Brasilia Hill Ct Lot # Lot 5,San Jose,,,,,,,,,,,,,
House,$ 1150855,,SANTA CLARA,,,Sale/Spec Homes,Toll Bros Inc,,New Project,18241 Corte Agustin,Morgan Hill,,,,,,,,,,,,,
House,$ 612332,,SANTA CLARA,,,Sale/Spec Homes,Sher Const Inc,,New Project,5831 Brasilia Hill Ct Lot # Lot 2,San Jose,,,,,,,,,,,,,
2025 RAS/WAS System Improvement,$ 896496,Telstar Instruments,CONTRA COSTA,2025-06-01,,Sewage Treatment Plant,Rodeo Sanitation District,5107992970.0,New Project,,RODEO,9166461999.0,4017 VISTA PARK CT,SACRAMENTO,,SACRAMENTO,sest@telstarinc.com,Design-Bid-Build,Y,,,,,
House,$ 900000,,SONOMA,,,Sale/Spec Homes,Schellinger Brothers Lp,,New Project,6516 Old Redwood Hwy,Santa Rosa,,,,,,,,,,,,,
South Stockton Pedestrian HAWK Improvements,$ 4218110,Zara Engineering Constrution,SAN JOAQUIN,2025-06-01,,Roadway Lighting,"Stockton, City of",2099378613.0,New Project,Jefferson St Various location,STOCKTON,6503538485.0,400 Capitol Mall,Sacramento,,SACRAMENTO,,Design-Bid-Build,N,,,,,
House,$ 1000000,,SANTA CLARA,,,Sale/Spec Homes,Mason Hammer Bldrs,,New Project,103 Sporleder Ct,Los Gatos,,,,,,,,,,,,,
House,$ 580000,,SANTA CLARA,,,Sale/Spec Homes,Golden Gate Group Inc,,New Project,441 University Ave,Los Gatos,,,,,,,,,,,,,
1535-1575 Industrial Project,$ 10454793,ARCO National Construction,SANTA CLARA,2025-06-01,,Warehouse,,,New Project,1535 Industrial Ave 1535 - 1575 Industrial,SAN JOSE,3234847356.0,1 Park Plz Ste 1120,Irvine,,ORANGE,,Design-Bid-Build,N,https://www.arconational.com/pacificcoast/,,,,
Newell Road Bridge Replacement,$ 9399787,Granite Construction Company,SANTA CLARA,2025-06-01,,Bridge,City of Palo Alto Purchasing Division,6503292271.0,"Alterations, New Project",Newell Road San Francisquito Creek,PALO ALTO,8317636100.0,715 Comstock St,Santa Clara,Patricia Arnett,SANTA CLARA,coastal.estimating@gcinc.com,Design-Bid-Build,Y,http://www.graniteconstruction.com,FOLLOW UP,,,
Aegis Living San Rafael,$ 16000000,"KPRS Construction Services, Inc.",MARIN,2023-07-01,2025-08-01,Elderly/Assisted Living,"Aegis Living, Inc",8666885829.0,New Project,800 Mission Ave,SAN RAFAEL,7146720800.0,2850 Saturn St,Brea,,ORANGE,bids@kprsinc.com,Design-Bid-Build,N,https://www.kprsinc.com/,,,,
House,$ 1000000,,SANTA CLARA,,,Sale/Spec Homes,Mason Hammer Bldrs Inc,,New Project,104 Sporleder Ct,Los Gatos,,,,,,,,,,,,,
House,$ 800000,,SONOMA,,,Sale/Spec Homes,Schellinger Brothers Lp,,New Project,6516 Old Redwood Hwy,Santa Rosa,,,,,,,,,,,,,
House,$ 875000,,SONOMA,,,Sale/Spec Homes,Schellinger Brothers Lp,,New Project,6516 Old Redwood Hwy,Santa Rosa,,,,,,,,,,,,,
2025 Morgan Hill Water Main Replacement,$ 537800,"Dpi, Inc",SANTA CLARA,2025-07-01,2025-10-01,Water Line,City of Morgan Hill,4083104641.0,New Project,Hale Ave Main Ave,MORGAN HILL,9093925777.0,1350 Arrow Hwy,La Verne,,EASTERN LA COUNTY,,Design-Bid-Build,Y,,,,,
New Residential Building,$ 881197,Link Corporation,SANTA CLARA,2025-04-01,,Sale/Spec Homes,,,New Project,895 S Second St,SAN JOSE,4085309756.0,868 Rosemary Ter,Sunnyvale,,SANTA CLARA,,,N,,,,,
HPSJ French Camp Lobby Alterations,$ 850000,,SAN JOAQUIN,2025-04-01,,Office,County of San Joaquin,2094683357.0,"Alterations, New Project",7751 S. Manthey Road,French Camp,,,,,,,Design-Bid-Build,Y,,,,,
Hart Street Connector Path Improvements,$ 508800,,MARIN,2025-07-01,,Paving,Town of Corte Madera,6282531106.0,"Alterations, New Project",Hart St,Corte Madera,,,,,,,Design-Bid-Build,N,,,,,
Brannan Street & Lincoln Avenue Crosswalk,$ 660000,,NAPA,2025-04-01,,Sidewalk/Parking Lot,City of Calistoga - Public Works,7079422828.0,"Alterations, New Project",Brannan St Lincoln Ave,CALISTOGA,,,,,,,Design-Bid-Build,N,,,,,
Sanitary Sewer Line Replacement,$ 1000000 - $ 2999999,,SANTA CLARA,2025-04-01,,Sanitary Sewer,Alum Rock Union School District,4089286987.0,"Alterations, New Project",500 Rough and Ready Rd Various,SAN JOSE,,,,,,,Design-Bid-Build,Y,,,,,
Arch Sperry Center,$ 10000000 - $ 14999999,,SAN JOAQUIN,2025-08-01,2026-08-01,Warehouse (Refrigerated),,,New Project,848 Performance Dr,STOCKTON,,,,,,,Design-Bid-Build,N,,,,,
MUSD 2025 Relocatable Classrooms,$ 4030329,,SAN JOAQUIN,2025-07-01,,Primary School,Manteca Unified School District,2098253200.0,"Alterations, New Project",745 Wawona St,MANTECA,,,,,,,Design-Bid-Build,N,,,,,
New Residential Building,$ 2877150,Brookfield Calwest Builders Llc,SANTA CLARA,2025-02-01,,Sale/Spec Homes,,,New Project,967 Bosco Ln,MORGAN HILL,7142001677.0,12865 Pointe Del Mar Way Ste 200,Del Mar,,SAN DIEGO,,,N,,,,,
The Courtyards on International Ph3 - Residential,$ 18039600,Pacific West Companies,ALAMEDA,2025-07-01,,Apartments/Condominiums 4  Stories,AMG & Associates LLC,8183802600.0,New Project,10550 International Blvd,OAKLAND,7754995656.0,8700 TECHNOLOGY WAY,RENO,,WASHOE,wpennington@pacificwestcompanies.com,Design-Bid-Build,N,http://www.pacificwestcompanies.com/,,,,
RFQ/DB: Brier ES & Glankler ELC Campus Replacement,$ 64000000 - $ 68000000,,ALAMEDA,2026-08-01,2027-11-01,Primary School,Fremont Unified School District,5106572350.0,New Project,39201 Sundale Dr,FREMONT,,,,,,,Design/Build,N,,,,,
India Basin Shoreline Park (Citywide PLA),$ 87042979,Clark Construction Group LLC,SAN FRANCISCO,2025-07-01,2028-01-01,Miscellaneous Recreational,City & County of San Francisco,6286526642.0,"Alterations, New Project",Hunters Point Blvd Hawes St,SAN FRANCISCO,9493043099.0,180 Howard St Ste 1200,San Francisco,,SAN FRANCISCO,dave.jenkins@clarkconstruction.com,Design-Bid-Build,Y,https://www.clarkconstruction.com/,FOLLOW UP  | PRIORITY | REACH OUT,,,
Newell Creek Pipeline Improvement - Felton/Graham Hill,$ 19272183,Ranger Pipelines,SANTA CRUZ,2025-01-01,,Water Line,City of Santa Cruz - Water Department,8314205200.0,"Alterations, New Project",Henry Cowell Dr & Graham Hill Rd,SANTA CRUZ,4158223700.0,1790 Yosemite Ave,San Francisco,,SAN FRANCISCO,estimating@rangerpipelines.com,Design-Bid-Build,Y,http://www.rangerpipelines.com/,,,,
SCUSD Bracher Elementary School Offsite Improvements,$ 562742,Guerra Construction Group,SANTA CLARA,2025-06-28,,Paving,Santa Clara Unified School District,4084233244.0,"Alterations, New Project",Chromite Dr Bowers Ave,SANTA CLARA,4082792027.0,984 MEMOREX DR,SANTA CLARA,Jaime Guerra,SANTA CLARA,jaime@guerraco.com,Design-Bid-Build,N,http://guerraco.com/,,,,
